sexo,estado_civil,idade,possui_filhos,idade_media_filhos,cargo_atual/senioridade,home_office/hibrido,avaliação_ambiente_trabalho,modelo_ideal,modelo_pre_pandemia,modelo_pos_pandemia,satisfacao_vida_pessoal,satisfacao_cuidado_filhos,satisfacao_tarefas_domesticas,satisfacao_estudos,satisfacao_dev_carreira,sobrecarga_vida_pessoal,sobrecarga_cuidado_filhos,sobrecarga_tarefas_domesticas,sobrecarga_estudos,sobrecarga_dev_carreira,frustracao_vida_pessoal,frustracao_cuidado_filhos,frustracao_tarefas_domesticas,frustracao_estudos,frustracao_dev_carreira,inseguranca_vida_pessoal,inseguranca_cuidado_filhos,inseguranca_tarefas_domesticas,inseguranca_estudos,inseguranca_dev_carreira,nivel
Mulher,Solteiro(a),29,Não,Não se aplica,QA Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,4.0,Não se aplica,5.0,5.0,5.0,4.0,Não se aplica,5.0,5.0,3.0,5.0,Não se aplica,5.0,5.0,5.0,Avançado
Homem,Solteiro(a),26,Não,Não se aplica,Desenvolvedor(a) Software Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,5.0,4.0,5.0,1.0,Não se aplica,0.0,1.0,2.0,3.0,Não se aplica,2.0,2.0,3.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Mulher,Divorciado(a),31,Não,Não se aplica,Desenvolvedor(a) Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,2.0,Intermediário
Mulher,Solteiro(a),33,Sim,6,Especialista de Dados Sênior ,Remoto,4.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,Avançado
Homem,Solteiro(a),22,Não,Não se aplica,Desenvolvedor(a) Full Stack Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Casado(a)/União Estável,42,Sim,18,Desenvolvedor(a) Pleno,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Intermediário
Homem,Solteiro(a),21,Não,Não se aplica,Júnior ,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,3.0,4.0,1.0,0.0,Não se aplica,3.0,1.0,5.0,4.0,Não se aplica,2.0,2.0,5.0,0.0,Não se aplica,0.0,0.0,5.0,Entrada
Homem,Solteiro(a),22,Não,Não se aplica,Analista de Sistemas Júnior,Híbrido,3.0,Remoto,Não,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,3.0,5.0,4.0,5.0,Não se aplica,5.0,2.0,4.0,5.0,Não se aplica,5.0,5.0,5.0,4.0,Não se aplica,4.0,5.0,3.0,Entrada
Mulher,Casado(a)/União Estável,46,Não,Não se aplica,Squad Leader,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Homem,Casado(a)/União Estável,24,Sim,1,Sênior,Remoto,4.0,Híbrido,Sim,Continuou trabalhando no modelo remoto?,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avançado
